Transect,year,sd.vegheight.m.2013
EASO-01,2013,3.033
EASO-02,2013,3.629
EASO-04,2013,5.04
EASO-05,2013,3.661
EASO-06,2013,4.653
EASO-08,2013,3.471
EASO-09,2013,1.588
EASO-11,2013,3.436
EASO-12,2013,5.248
EASO-13,2013,3.586
EASO-15,2013,2.689
EASO-16,2013,3.531
EASO-17,2013,3.862
EASO-18,2013,3.298
EASO-20,2013,2.627
EASO-21,2013,3.772
EASO-22,2013,4.479
EASO-24,2013,4.105
EASO-25,2013,4.128
EASO-26,2013,0.136
EASO-27,2013,3.475
EASO-28,2013,3.698
EASO-29,2013,3.148
EASO-31,2013,2.584
EASO-32,2013,3.784
EASO-33,2013,3.151
EASO-34,2013,3.034
EASO-36,2013,2.968
EASO-37,2013,4.271
EASO-38,2013,4.193
EASO-40,2013,3.905
EASO-41,2013,2.572
EASO-43,2013,1.289
EASO-44,2013,5.567
EASO-45,2013,2.972
EASO-47,2013,4.739
EASO-48,2013,3.179
EASO-49,2013,2.767
EASO-50,2013,4.666
EASO-52,2013,3.064
EASO-53,2013,3.083
EASO-54,2013,4.235
EASO-56,2013,3.152
EASO-57,2013,3.699
EASO-59,2013,3.693
EASO-60,2013,4.431
EASO-61,2013,2.609
EASO-63,2013,4.476
EASO-64,2013,3.538
EASO-65,2013,2.125
EASO-66,2013,0
EASO-68,2013,4.359
EASO-69,2013,2.645